name,tags,score,lat,lon
Рыба,['Магазин рыбы и морепродуктов'],"3,8",38.151084,54.833194
Авокадо,['Магазин продуктов'],"3,6",38.068955,54.886402
Пятёрочка,,"4,1",38.062667,54.879605
Центральный,,"4,2",38.267628,54.793137
Лазурит,['Магазин продуктов'],"3,8",38.181107,54.844982
Магазин продуктов,['Магазин продуктов'],"4,0",38.297371,54.796228
Супермаркет,,"4,3",38.028313,54.812673
Продукты,['Магазин продуктов'],"3,7",38.062458,54.892226
Огонёк,['Магазин продуктов'],"3,0",38.250139,54.847436
Авокадо,['Магазин продуктов'],"3,7",38.250274,54.848878
Ночной 24,['Магазин продуктов'],"3,4",38.262521,54.790705
Кентавр,,"4,2",38.259239,54.791113
Продуктовый дискаунт,,"4,2",38.0731,54.90051
Магазин продуктов,['Магазин продуктов'],"3,6",38.085504,54.899893
Пятёрочка,,"4,3",38.026249,54.811164
Продукты,['Магазин продуктов'],"4,0",38.274227,54.801522
Авокадо,['Магазин продуктов'],"3,9",38.040332,54.936757
Пятёрочка,,"4,2",38.279671,54.797296
Куриный дом,['Магазин продуктов'],"3,8",38.06735,54.889946
Рыба,['Магазин рыбы и морепродуктов'],"3,8",38.151084,54.833194
Авокадо,['Магазин продуктов'],"3,6",38.068955,54.886402
Яндекс Маркет,['Пункт выдачи'],"4,1",38.24436,54.850069
Пятёрочка,,"4,1",38.062667,54.879605
Центральный,,"4,2",38.267628,54.793137
2beer,"['Магазин рыбы и морепродуктов', 'магазин пива']","3,8",38.189025,54.856731
Лазурит,['Магазин продуктов'],"3,8",38.181107,54.844982
Магазин продуктов,['Магазин продуктов'],"4,0",38.297371,54.796228
Супермаркет,,"4,3",38.028313,54.812673
Экоферма,['Магазин продуктов'],"4,0",38.273127,54.836472
Продукты,['Магазин продуктов'],"3,7",38.062458,54.892226
Огонёк,['Магазин продуктов'],"3,0",38.250139,54.847436
Куриный дом,"['Магазин мяса, колбас', 'яйцо и мясо птицы']","4,1",38.2596,54.79278
Авокадо,['Магазин продуктов'],"3,7",38.250274,54.848878
Ночной 24,['Магазин продуктов'],"3,4",38.262521,54.790705
Кентавр,,"4,2",38.259239,54.791113
Продукты,['Магазин продуктов'],"3,7",38.205271,54.814182
Супермаркет,,"4,1",38.249755,54.852312
Яндекс Маркет,['Пункт выдачи'],"4,1",38.24436,54.850069
Пятёрочка,,"4,1",38.062667,54.879605
Сибирский Бегемот,['Продукты глубокой заморозки'],"3,9",38.083933,54.885534
Центральный,,"4,2",38.267628,54.793137
2beer,"['Магазин рыбы и морепродуктов', 'магазин пива']","3,8",38.189025,54.856731
